trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id,dropoff_location_id,fare_amount,tip_amount,total_amount,payment_type
40,2,2025-06-01 03:52:00,2025-06-01 04:15:00,3,3.15,3,12,12.34,1.23,13.87,3
41,2,2025-06-20 11:08:00,2025-06-20 11:45:00,3,4.03,9,1,15.64,0.0,15.94,2
42,1,2025-06-07 17:45:00,2025-06-07 18:14:00,1,3.25,6,15,10.15,1.02,11.47,1
43,1,2025-06-12 08:33:00,2025-06-12 09:17:00,1,6.12,10,12,22.46,3.37,26.13,4
44,2,2025-06-08 09:29:00,2025-06-08 10:22:00,2,5.4,1,3,19.63,2.94,22.87,4
45,1,2025-06-12 07:03:00,2025-06-12 07:22:00,1,4.96,14,8,15.69,0.0,15.99,4
46,1,2025-06-21 22:46:00,2025-06-21 23:10:00,2,5.95,4,1,17.77,0.0,18.07,1
47,2,2025-06-13 16:18:00,2025-06-13 16:24:00,1,4.86,11,14,16.93,2.54,19.77,1
48,2,2025-06-12 21:18:00,2025-06-12 21:31:00,1,2.85,1,2,10.76,1.08,12.14,3
49,1,2025-06-15 06:37:00,2025-06-15 07:06:00,4,1.23,4,5,5.77,1.15,7.22,2
50,1,2025-06-01 01:50:00,2025-06-01 02:25:00,1,1.64,11,12,7.93,1.59,9.82,2
51,2,2025-06-04 04:25:00,2025-06-04 05:09:00,3,5.78,12,15,19.82,0.0,20.12,1
52,1,2025-06-19 14:04:00,2025-06-19 14:26:00,2,1.8,9,3,7.33,0.73,8.36,3
53,1,2025-06-18 06:07:00,2025-06-18 06:52:00,1,3.18,9,14,11.67,1.75,13.72,1
54,2,2025-06-10 13:34:00,2025-06-10 14:03:00,2,1.9,11,6,8.47,1.69,10.46,2
55,2,2025-06-10 17:25:00,2025-06-10 17:59:00,3,0.2,11,2,3.13,0.0,3.43,3
56,1,2025-06-29 19:20:00,2025-06-29 20:01:00,1,3.96,11,5,12.8,0.0,13.1,1
57,1,2025-06-02 02:40:00,2025-06-02 02:44:00,4,3.28,8,7,13.06,0.0,13.36,3
58,1,2025-06-18 11:24:00,2025-06-18 11:57:00,1,5.58,11,12,17.45,0.0,17.75,4
59,1,2025-06-20 08:22:00,2025-06-20 08:38:00,2,5.57,9,4,18.22,0.0,18.52,1
60,2,2025-06-22 03:30:00,2025-06-22 04:14:00,3,7.92,10,6,24.97,4.99,30.26,4
61,1,2025-06-23 23:21:00,2025-06-23 23:50:00,4,4.48,8,5,17.18,2.58,20.06,1
62,2,2025-06-24 17:23:00,2025-06-24 17:56:00,1,0.89,8,2,5.13,0.51,5.94,1
63,1,2025-06-16 06:50:00,2025-06-16 07:12:00,1,3.87,12,3,11.71,1.76,13.77,2
64,2,2025-06-19 13:12:00,2025-06-19 13:35:00,2,2.66,1,4,10.08,1.51,11.89,4
65,2,2025-06-27 13:58:00,2025-06-27 14:44:00,2,7.5,1,6,24.18,3.63,28.11,4
66,1,2025-06-20 01:40:00,2025-06-20 02:16:00,2,3.73,13,10,14.05,2.81,17.16,1
67,2,2025-06-13 10:07:00,2025-06-13 10:36:00,1,1.12,12,3,5.86,0.88,7.04,2
68,1,2025-06-25 07:24:00,2025-06-25 07:27:00,1,3.39,10,11,13.65,2.73,16.68,3
69,2,2025-06-20 12:09:00,2025-06-20 12:19:00,1,4.09,4,8,12.77,1.28,14.35,4
70,1,2025-06-18 06:06:00,2025-06-18 06:25:00,2,2.21,5,14,9.36,1.4,11.06,1
71,1,2025-06-25 13:11:00,2025-06-25 13:16:00,1,5.15,13,1,17.85,0.0,18.15,4
72,1,2025-06-01 22:15:00,2025-06-01 22:56:00,3,3.2,8,11,10.13,0.0,10.43,1
73,1,2025-06-22 03:56:00,2025-06-22 04:42:00,1,3.12,13,14,11.63,0.0,11.93,1
74,2,2025-06-27 08:04:00,2025-06-27 08:07:00,2,5.21,11,15,19.77,3.95,24.02,3
75,1,2025-06-10 00:37:00,2025-06-10 00:43:00,3,0.2,14,11,3.0,0.3,3.6,4
76,2,2025-06-02 20:51:00,2025-06-02 21:15:00,1,1.04,2,9,5.45,0.55,6.3,4
77,2,2025-06-20 02:48:00,2025-06-20 03:42:00,1,0.97,12,3,5.06,0.76,6.12,3
78,2,2025-06-24 17:53:00,2025-06-24 18:36:00,2,3.34,13,8,10.93,2.19,13.42,4
79,1,2025-06-27 23:08:00,2025-06-27 23:27:00,2,2.51,15,8,10.84,1.08,12.22,2
80,2,2025-06-28 18:38:00,2025-06-28 19:22:00,1,4.62,8,14,14.77,0.0,15.07,2
81,1,2025-06-10 15:41:00,2025-06-10 16:05:00,1,3.77,9,1,14.78,1.48,16.56,1
82,2,2025-06-19 11:55:00,2025-06-19 12:28:00,2,1.37,12,8,6.43,0.0,6.73,4
83,2,2025-06-01 18:50:00,2025-06-01 18:57:00,2,2.61,6,8,9.0,1.8,11.1,3
84,2,2025-06-26 01:10:00,2025-06-26 01:33:00,1,5.26,5,5,16.29,2.44,19.03,1
85,2,2025-06-09 18:21:00,2025-06-09 18:43:00,1,5.1,4,4,18.38,0.0,18.68,3
86,1,2025-06-27 19:59:00,2025-06-27 20:49:00,1,4.98,2,14,16.59,1.66,18.55,1
87,2,2025-06-17 10:10:00,2025-06-17 10:23:00,4,2.14,1,9,7.53,0.0,7.83,1
88,2,2025-06-30 00:43:00,2025-06-30 01:33:00,2,6.32,10,5,20.13,0.0,20.43,2
89,2,2025-06-16 12:08:00,2025-06-16 12:21:00,2,4.76,14,2,17.89,0.0,18.19,1
90,2,2025-06-27 06:15:00,2025-06-27 06:57:00,1,2.86,3,13,11.15,0.0,11.45,1
91,2,2025-06-06 09:22:00,2025-06-06 09:59:00,2,3.46,13,9,13.4,0.0,13.7,2
92,1,2025-06-14 12:47:00,2025-06-14 13:26:00,3,0.34,10,10,3.65,0.36,4.31,3
93,1,2025-06-05 12:23:00,2025-06-05 13:13:00,1,3.58,4,3,13.21,0.0,13.51,1
94,1,2025-06-19 14:12:00,2025-06-19 14:42:00,1,4.6,5,1,16.43,2.46,19.19,3
95,1,2025-06-13 20:48:00,2025-06-13 21:34:00,2,3.71,13,13,11.7,1.17,13.17,1
96,1,2025-06-25 18:48:00,2025-06-25 19:04:00,1,2.58,14,3,10.18,1.02,11.5,1
97,2,2025-06-14 23:59:00,2025-06-15 00:39:00,4,3.18,8,12,10.6,0.0,10.9,2
98,1,2025-06-13 09:21:00,2025-06-13 09:55:00,2,0.47,2,10,3.84,0.58,4.72,3
99,2,2025-06-15 16:03:00,2025-06-15 16:43:00,3,3.2,10,1,13.23,2.65,16.18,1
100,1,2025-06-08 23:21:00,2025-06-08 23:53:00,3,4.12,15,5,14.13,2.12,16.55,2
101,1,2025-06-29 21:21:00,2025-06-29 22:15:00,1,2.28,6,11,8.47,0.85,9.62,1
102,1,2025-06-19 17:37:00,2025-06-19 18:23:00,2,3.25,14,13,11.58,1.74,13.62,1
103,2,2025-06-15 07:32:00,2025-06-15 07:50:00,2,0.73,14,1,4.46,0.89,5.65,1
104,1,2025-06-09 12:53:00,2025-06-09 13:28:00,1,8.19,11,8,24.07,3.61,27.98,1
105,1,2025-06-25 23:53:00,2025-06-26 00:03:00,4,5.23,1,11,18.39,0.0,18.69,1
106,1,2025-06-15 03:25:00,2025-06-15 04:02:00,2,2.21,2,4,7.4,1.11,8.81,1
107,2,2025-06-30 11:28:00,2025-06-30 12:23:00,2,5.97,7,14,17.72,1.77,19.79,1
108,1,2025-06-21 18:55:00,2025-06-21 19:32:00,1,7.22,15,10,19.64,0.0,19.94,1
109,2,2025-06-19 21:13:00,2025-06-19 21:36:00,1,5.49,12,5,19.98,2.0,22.28,2
110,2,2025-06-25 12:16:00,2025-06-25 12:48:00,2,2.2,13,9,8.25,1.65,10.2,1
111,2,2025-06-09 14:03:00,2025-06-09 14:49:00,4,3.35,1,6,13.31,2.0,15.61,4
112,1,2025-06-18 08:24:00,2025-06-18 08:50:00,3,5.26,8,1,20.31,0.0,20.61,2
113,1,2025-06-16 02:37:00,2025-06-16 02:45:00,2,4.79,1,12,16.06,2.41,18.77,4
114,2,2025-06-30 19:11:00,2025-06-30 19:22:00,4,1.59,6,10,6.14,0.61,7.05,1
115,1,2025-06-15 22:52:00,2025-06-15 23:37:00,3,4.5,14,9,14.11,2.12,16.53,1
116,1,2025-06-11 16:25:00,2025-06-11 17:07:00,2,1.61,4,12,7.36,0.74,8.4,1
117,1,2025-06-29 20:13:00,2025-06-29 21:00:00,1,4.78,1,6,17.0,0.0,17.3,1
118,1,2025-06-18 01:25:00,2025-06-18 01:54:00,1,1.57,7,10,6.23,1.25,7.78,1
119,2,2025-06-04 14:15:00,2025-06-04 14:56:00,4,5.21,3,4,15.47,3.09,18.86,1
120,1,2025-06-21 21:58:00,2025-06-21 22:16:00,1,1.08,15,5,5.74,0.86,6.9,2
121,1,2025-06-16 17:26:00,2025-06-16 18:05:00,2,1.57,14,5,7.25,1.09,8.64,4
122,2,2025-06-22 23:47:00,2025-06-22 23:55:00,4,8.32,6,10,23.17,4.63,28.1,1
123,2,2025-06-01 23:57:00,2025-06-02 00:52:00,1,2.28,15,10,9.06,0.0,9.36,4
124,2,2025-06-11 11:21:00,2025-06-11 12:01:00,4,1.79,11,4,8.16,0.0,8.46,4
125,2,2025-07-01 00:00:00,2025-07-01 00:45:00,1,4.76,5,13,18.13,0.0,18.43,2
126,2,2025-06-17 14:31:00,2025-06-17 15:19:00,1,0.69,6,12,4.13,0.41,4.84,1
127,2,2025-06-07 00:21:00,2025-06-07 01:13:00,2,0.2,14,3,3.07,0.31,3.68,4
128,1,2025-06-14 10:22:00,2025-06-14 11:11:00,1,1.83,8,2,8.44,0.0,8.74,4
129,2,2025-06-19 02:04:00,2025-06-19 02:57:00,1,2.34,9,2,8.76,0.88,9.94,3
130,1,2025-06-12 22:21:00,2025-06-12 23:00:00,2,2.88,2,11,10.15,1.02,11.47,1
131,2,2025-06-29 04:42:00,2025-06-29 05:19:00,4,1.84,15,12,7.98,1.2,9.48,2
132,1,2025-06-06 07:26:00,2025-06-06 07:36:00,1,5.74,5,8,15.44,0.0,15.74,1
133,1,2025-06-25 11:08:00,2025-06-25 11:18:00,2,1.65,7,10,8.01,1.6,9.91,3
134,2,2025-06-05 12:09:00,2025-06-05 13:04:00,1,4.5,5,1,15.04,2.26,17.6,2
135,2,2025-06-21 05:43:00,2025-06-21 06:00:00,1,3.79,15,11,13.96,2.79,17.05,2
136,1,2025-06-13 13:20:00,2025-06-13 13:34:00,4,2.44,2,11,10.7,1.6,12.6,3
137,1,2025-06-28 04:14:00,2025-06-28 04:17:00,3,5.0,4,2,19.43,3.89,23.62,1
138,1,2025-06-11 14:29:00,2025-06-11 14:52:00,1,3.79,1,5,14.36,2.87,17.53,2
139,1,2025-06-12 09:46:00,2025-06-12 10:39:00,3,4.61,6,13,12.78,0.0,13.08,1
140,1,2025-06-01 17:14:00,2025-06-01 17:27:00,4,5.95,12,7,17.48,0.0,17.78,1
141,1,2025-06-22 16:11:00,2025-06-22 16:41:00,4,3.64,4,10,10.98,2.2,13.48,4
142,2,2025-06-30 23:41:00,2025-07-01 00:16:00,2,0.72,1,8,4.34,0.0,4.64,3
143,1,2025-06-05 21:55:00,2025-06-05 22:28:00,1,2.67,10,3,11.26,1.13,12.69,1
144,2,2025-06-29 09:55:00,2025-06-29 10:37:00,2,0.99,7,10,5.37,0.54,6.21,2
145,1,2025-06-28 13:17:00,2025-06-28 13:46:00,2,5.85,12,14,21.36,4.27,25.93,2
146,1,2025-06-11 09:34:00,2025-06-11 10:02:00,1,5.11,7,7,15.82,2.37,18.49,2
147,1,2025-06-15 05:21:00,2025-06-15 06:05:00,1,3.04,2,2,11.69,1.75,13.74,2
148,2,2025-06-05 09:28:00,2025-06-05 10:17:00,4,8.4,9,1,28.43,0.0,28.73,1
149,2,2025-06-19 16:42:00,2025-06-19 17:06:00,1,6.7,5,10,20.64,0.0,20.94,1
150,1,2025-06-27 07:14:00,2025-06-27 07:48:00,1,0.2,4,14,3.0,0.45,3.75,4
151,1,2025-06-26 07:35:00,2025-06-26 08:00:00,3,4.47,14,9,13.55,2.03,15.88,3
152,2,2025-06-13 04:07:00,2025-06-13 04:10:00,1,4.32,15,6,12.94,1.29,14.53,1
153,1,2025-06-07 12:28:00,2025-06-07 13:06:00,2,2.76,2,12,11.03,0.0,11.33,2
154,1,2025-06-21 15:30:00,2025-06-21 15:53:00,1,2.53,12,6,8.54,0.85,9.69,1
155,2,2025-06-08 03:56:00,2025-06-08 04:46:00,2,0.88,8,10,4.72,0.71,5.73,1
156,2,2025-06-10 19:27:00,2025-06-10 20:17:00,4,1.08,7,2,5.54,0.55,6.39,3
157,1,2025-06-27 23:51:00,2025-06-28 00:24:00,1,1.42,1,1,6.0,1.2,7.5,1
158,2,2025-06-07 05:53:00,2025-06-07 06:43:00,4,2.9,2,1,9.77,0.98,11.05,2
159,1,2025-06-08 23:54:00,2025-06-09 00:04:00,2,0.81,2,7,4.77,0.48,5.55,1
160,2,2025-06-21 22:10:00,2025-06-21 22:16:00,4,5.44,7,10,20.1,4.02,24.42,3
161,2,2025-06-20 00:13:00,2025-06-20 00:33:00,1,3.52,8,14,11.62,2.32,14.24,2
162,2,2025-06-05 19:37:00,2025-06-05 19:54:00,1,3.49,9,2,12.0,1.8,14.1,3
163,1,2025-06-16 10:50:00,2025-06-16 11:06:00,1,2.56,9,9,9.7,0.0,10.0,1
164,1,2025-06-30 08:59:00,2025-06-30 09:53:00,1,4.3,3,5,12.72,0.0,13.02,2
165,2,2025-06-07 22:58:00,2025-06-07 23:48:00,4,3.25,8,13,13.36,2.0,15.66,2
166,2,2025-06-30 06:19:00,2025-06-30 07:01:00,1,2.37,14,11,10.52,1.05,11.87,2
167,1,2025-06-04 02:35:00,2025-06-04 03:07:00,1,1.53,6,9,6.37,0.0,6.67,2
168,1,2025-06-21 13:36:00,2025-06-21 13:40:00,3,3.83,2,11,11.19,1.12,12.61,2
169,1,2025-06-24 01:51:00,2025-06-24 02:17:00,1,0.6,8,15,4.39,0.0,4.69,2
170,2,2025-06-22 15:30:00,2025-06-22 16:04:00,4,3.82,8,2,11.6,0.0,11.9,1
171,1,2025-06-23 23:06:00,2025-06-23 23:49:00,1,3.94,9,9,13.24,1.99,15.53,1
172,1,2025-06-13 20:59:00,2025-06-13 21:25:00,4,4.6,11,10,14.88,1.49,16.67,3
173,1,2025-06-16 05:31:00,2025-06-16 05:37:00,1,1.91,12,14,7.59,0.76,8.65,1
174,2,2025-06-27 12:30:00,2025-06-27 13:14:00,1,5.55,5,11,15.65,1.57,17.52,2
175,1,2025-06-04 20:32:00,2025-06-04 20:53:00,4,0.39,11,12,3.51,0.0,3.81,3
176,1,2025-06-20 06:28:00,2025-06-20 07:02:00,1,2.11,5,3,8.06,0.81,9.17,4
177,1,2025-06-23 03:08:00,2025-06-23 03:22:00,4,3.37,9,13,10.23,0.0,10.53,1
178,1,2025-06-29 03:03:00,2025-06-29 03:13:00,4,4.33,3,3,15.13,0.0,15.43,2
179,2,2025-06-02 23:43:00,2025-06-03 00:11:00,1,1.0,5,13,5.86,1.17,7.33,2
180,1,2025-06-11 21:14:00,2025-06-11 21:35:00,1,5.72,15,14,21.71,3.26,25.27,3
181,1,2025-06-26 23:03:00,2025-06-26 23:33:00,3,1.54,7,3,6.59,1.32,8.21,1
182,1,2025-06-12 09:04:00,2025-06-12 09:09:00,4,3.61,9,15,13.22,1.32,14.84,4
183,2,2025-06-24 11:30:00,2025-06-24 11:39:00,1,2.42,3,14,8.62,1.72,10.64,1
184,2,2025-06-21 12:45:00,2025-06-21 13:09:00,1,6.68,1,7,24.65,3.7,28.65,2
185,1,2025-06-04 17:08:00,2025-06-04 17:33:00,1,3.49,13,3,10.59,1.06,11.95,1
186,1,2025-06-22 12:02:00,2025-06-22 12:48:00,1,5.02,8,10,18.55,2.78,21.63,1
187,2,2025-06-12 15:32:00,2025-06-12 15:47:00,1,4.55,7,2,16.48,3.3,20.08,1
188,1,2025-06-06 13:05:00,2025-06-06 13:10:00,2,0.92,8,2,4.79,0.96,6.05,2
189,2,2025-06-25 09:30:00,2025-06-25 09:33:00,1,1.34,7,1,6.6,0.66,7.56,2
190,1,2025-06-19 23:00:00,2025-06-19 23:13:00,3,1.17,9,6,6.01,0.0,6.31,2
191,2,2025-06-24 02:08:00,2025-06-24 03:00:00,1,5.86,1,11,18.14,2.72,21.16,1
192,1,2025-06-01 17:44:00,2025-06-01 18:08:00,3,3.0,4,12,11.94,1.19,13.43,3
193,2,2025-06-16 03:11:00,2025-06-16 03:21:00,4,5.74,14,13,20.73,0.0,21.03,2
194,2,2025-06-29 18:01:00,2025-06-29 18:14:00,1,3.93,12,13,14.97,0.0,15.27,1
195,2,2025-06-10 04:11:00,2025-06-10 04:15:00,1,4.32,9,7,13.64,1.36,15.3,1
196,2,2025-06-30 10:35:00,2025-06-30 10:49:00,1,0.2,14,11,3.01,0.0,3.31,1
197,2,2025-06-17 17:58:00,2025-06-17 18:27:00,4,5.86,6,3,21.68,3.25,25.23,2
198,1,2025-06-17 17:14:00,2025-06-17 18:07:00,2,0.98,12,7,5.27,0.0,5.57,2
199,2,2025-06-09 05:06:00,2025-06-09 05:42:00,1,2.93,5,8,10.1,1.01,11.41,3
200,2,2025-06-21 04:51:00,2025-06-21 05:15:00,4,4.14,10,7,13.83,1.38,15.51,4
201,2,2025-06-03 14:39:00,2025-06-03 14:45:00,1,2.18,1,3,8.64,0.0,8.94,1
202,1,2025-06-04 01:26:00,2025-06-04 01:43:00,3,1.31,6,7,6.61,0.66,7.57,1
203,2,2025-06-21 11:26:00,2025-06-21 11:51:00,4,0.73,6,7,4.61,0.92,5.83,1
204,2,2025-06-12 08:38:00,2025-06-12 08:47:00,3,5.77,8,9,15.37,0.0,15.67,1
205,2,2025-06-12 21:55:00,2025-06-12 22:46:00,1,3.05,12,15,12.86,1.29,14.45,1
206,2,2025-06-07 04:15:00,2025-06-07 04:21:00,4,5.48,2,13,17.53,2.63,20.46,1
207,1,2025-06-03 22:55:00,2025-06-03 23:32:00,1,0.2,13,6,3.14,0.0,3.44,1
208,2,2025-06-07 07:41:00,2025-06-07 07:58:00,2,2.04,6,9,8.92,0.0,9.22,4
209,2,2025-06-26 02:32:00,2025-06-26 02:42:00,3,2.52,9,7,8.98,1.35,10.63,1
210,2,2025-06-06 16:53:00,2025-06-06 17:15:00,1,2.62,8,11,10.28,1.54,12.12,4
211,1,2025-06-26 02:10:00,2025-06-26 02:52:00,1,0.2,15,14,3.0,0.6,3.9,2
212,1,2025-06-07 23:08:00,2025-06-07 23:29:00,1,1.32,15,12,5.66,0.57,6.53,2
213,1,2025-06-13 22:15:00,2025-06-13 22:22:00,3,3.19,11,5,11.63,0.0,11.93,3
214,2,2025-06-08 16:11:00,2025-06-08 16:50:00,3,6.18,3,11,23.08,0.0,23.38,1
215,2,2025-06-02 06:59:00,2025-06-02 07:06:00,3,6.09,13,10,20.11,0.0,20.41,3
216,2,2025-06-02 09:04:00,2025-06-02 09:37:00,2,4.05,5,11,15.73,3.15,19.18,1
217,1,2025-06-19 11:33:00,2025-06-19 11:54:00,1,0.2,8,8,3.0,0.45,3.75,2
218,2,2025-06-07 12:55:00,2025-06-07 13:17:00,2,4.12,12,14,15.82,1.58,17.7,1
219,1,2025-06-17 20:43:00,2025-06-17 21:17:00,1,1.5,8,4,6.64,0.66,7.6,1
220,1,2025-06-14 04:59:00,2025-06-14 05:25:00,1,2.5,4,14,10.59,1.59,12.48,2
221,2,2025-06-15 05:34:00,2025-06-15 05:48:00,1,3.4,15,5,12.08,1.81,14.19,1
222,2,2025-06-18 21:31:00,2025-06-18 22:05:00,1,0.74,4,10,4.53,0.0,4.83,1
223,1,2025-06-13 19:18:00,2025-06-13 19:51:00,2,0.2,9,1,3.1,0.31,3.71,1
224,2,2025-06-13 00:52:00,2025-06-13 01:40:00,1,0.88,6,1,4.82,0.72,5.84,2
225,2,2025-06-26 13:39:00,2025-06-26 13:53:00,3,2.07,13,9,8.01,1.2,9.51,3
226,2,2025-06-28 19:25:00,2025-06-28 19:34:00,3,4.52,7,6,13.14,0.0,13.44,1
227,2,2025-06-07 13:34:00,2025-06-07 13:48:00,2,1.5,3,12,5.87,0.0,6.17,2
228,2,2025-06-21 19:09:00,2025-06-21 19:20:00,1,1.92,3,6,8.12,1.62,10.04,2
229,2,2025-06-29 01:22:00,2025-06-29 02:11:00,2,4.75,9,8,15.84,3.17,19.31,4
230,2,2025-06-01 18:10:00,2025-06-01 18:35:00,4,0.85,7,10,4.71,0.0,5.01,4
231,1,2025-06-29 15:19:00,2025-06-29 15:22:00,3,1.85,10,4,8.03,1.61,9.94,2
232,2,2025-06-08 18:14:00,2025-06-08 18:49:00,1,2.26,13,14,9.18,1.84,11.32,4
233,1,2025-06-12 00:32:00,2025-06-12 00:36:00,2,0.27,6,7,3.16,0.47,3.93,3
234,1,2025-06-10 06:42:00,2025-06-10 07:10:00,4,1.76,15,8,7.43,1.49,9.22,1
235,2,2025-06-24 14:32:00,2025-06-24 14:47:00,3,0.2,6,3,3.05,0.46,3.81,1
236,1,2025-06-25 20:40:00,2025-06-25 21:04:00,1,0.42,10,8,3.76,0.38,4.44,1
237,2,2025-06-26 09:34:00,2025-06-26 09:55:00,1,4.09,12,4,12.96,1.3,14.56,2
238,2,2025-06-16 20:59:00,2025-06-16 21:36:00,2,8.77,5,2,31.62,3.16,35.08,4
239,2,2025-06-16 16:58:00,2025-06-16 17:49:00,4,3.79,6,15,12.15,0.0,12.45,1
240,2,2025-06-22 19:16:00,2025-06-22 19:31:00,1,1.56,5,15,6.31,1.26,7.87,1
241,1,2025-06-29 00:29:00,2025-06-29 01:18:00,1,1.86,4,11,8.09,1.62,10.01,1
242,1,2025-06-19 19:26:00,2025-06-19 19:49:00,1,2.39,11,13,9.82,0.0,10.12,2
243,2,2025-06-08 04:30:00,2025-06-08 04:58:00,1,0.72,13,5,4.5,0.0,4.8,3
244,1,2025-06-03 16:37:00,2025-06-03 17:28:00,1,0.2,4,9,3.0,0.6,3.9,2
245,1,2025-06-09 00:00:00,2025-06-09 00:04:00,1,5.31,15,1,17.34,1.73,19.37,2
246,2,2025-06-28 10:23:00,2025-06-28 10:31:00,1,3.16,5,8,12.97,1.3,14.57,4
247,1,2025-06-23 22:44:00,2025-06-23 23:15:00,1,2.65,11,5,9.38,1.41,11.09,3
248,2,2025-06-16 08:12:00,2025-06-16 09:04:00,2,6.98,3,10,20.33,0.0,20.63,2
249,1,2025-06-15 22:11:00,2025-06-15 22:18:00,1,2.44,6,15,10.74,1.61,12.65,1
250,1,2025-06-18 10:57:00,2025-06-18 11:14:00,1,3.75,6,5,12.76,1.28,14.34,3
251,2,2025-06-17 08:43:00,2025-06-17 09:29:00,4,3.47,7,11,12.07,0.0,12.37,1
252,2,2025-06-30 01:38:00,2025-06-30 01:58:00,1,6.31,4,3,19.17,0.0,19.47,2
253,1,2025-06-28 13:37:00,2025-06-28 14:02:00,1,0.91,13,11,5.02,1.0,6.32,3
254,2,2025-06-28 02:47:00,2025-06-28 03:39:00,1,4.54,9,12,12.93,1.94,15.17,2
255,2,2025-06-06 02:33:00,2025-06-06 02:38:00,3,5.35,3,3,15.57,3.11,18.98,2
256,2,2025-06-06 06:57:00,2025-06-06 07:42:00,1,0.2,8,2,3.0,0.6,3.9,2
